Key	UK English	French	Arabic		
home.about.us	About Us	Ã€ propos de nous	Ù…Ù† Ù†Ø­Ù†		
home.our.planes	Our Planes	Nos Avions	Ø·Ø§Ø¦Ø±Ø§ØªÙ†Ø§		
home.management.team	Management Team	Equipe de direction	ÙØ±ÙŠÙ‚ Ø§Ù„Ø¥Ø¯Ø§Ø±Ø©		
home.news	News	Nouvelles	Ø§Ù„Ø£Ø®Ø¨Ø§Ø±		
home.weather	Weather	MÃ©tÃ©o	Ø§Ù„Ø·Ù‚Ø³		
home.jersey.weather	Jersey Weather	MÃ©tÃ©o Ã  Jersey	Ø§Ù„Ø·Ù‚Ø³ ÙÙŠ Ø¬ÙŠØ±Ø³ÙŠ		
home.guernsey.weather	Guernsey Weather	MÃ©tÃ©o Ã  Guernsey	Ø§Ù„Ø·Ù‚Ø³ ÙÙŠ ØºÙŠØ±Ù†Ø³ÙŠ		
home.BBC.news	BBC News	Nouvelles du BBC	Ø£Ø®Ø¨Ø§Ø± Ø¨ÙŠ Ø¨ÙŠ Ø³ÙŠ		
home.home	Home	Accueil	Ø§Ù„Ø±Ø¦ÙŠØ³ÙŠØ©		
home.services	Our Service	Nos services	Ø®Ø¯Ù…Ø§ØªÙ†Ø§		
home.contact.us	Contact Us	Contactez-nous	Ø§ØªØµÙ„ Ø¨Ù†Ø§		
home.faq	FAQ	FAQ	Ø§Ù„Ø£Ø³Ø¦Ù„Ø© Ø§Ù„Ø´Ø§Ø¦Ø¹Ø©		
home.terms.conditions	Terms & Conditions	Conditions GÃ©nÃ©rales	Ø§Ù„Ø´Ø±ÙˆØ· ÙˆØ§Ù„Ø£Ø­ÙƒØ§Ù…		
home.terms.condition.use	Terms and Conditions of Use	Conditions gÃ©nÃ©rales d'utilisation	Ø´Ø±ÙˆØ· ÙˆØ£Ø­ÙƒØ§Ù… Ø§Ù„Ø§Ø³ØªØ®Ø¯Ø§Ù…		
home.data.protection.privacy	Data Protection and Privacy Statement	DÃ©claration relative Ã  la protection des donnÃ©es et Ã  la confidentialitÃ©	Ø¨ÙŠØ§Ù† Ø­Ù…Ø§ÙŠØ© Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª ÙˆØ§Ù„Ø®ØµÙˆØµÙŠØ©		
home.cookies.policy	Cookies Policy	Politique relative aux cookies	Ø³ÙŠØ§Ø³Ø© Ù…Ù„ÙØ§Øª ØªØ¹Ø±ÙŠÙ Ø§Ù„Ø§Ø±ØªØ¨Ø§Ø·		
home.web.accessibility.statement	Web Accessibility Statement	DÃ©claration relative Ã  l'accessibilitÃ© du site Web	Ø¨ÙŠØ§Ù† Ø¥Ù…ÙƒØ§Ù†ÙŠØ© Ø§Ù„ÙˆØµÙˆÙ„ Ø¥Ù„Ù‰ Ø§Ù„Ù…ÙˆÙ‚Ø¹ Ø§Ù„Ø¥Ù„ÙƒØªØ±ÙˆÙ†ÙŠ		
home.website.content.disclaimer	Website Content Disclaimer	Avertissement relatif au contenu du site Web	Ø¥Ø®Ù„Ø§Ø¡ Ù…Ø³Ø¤ÙˆÙ„ÙŠØ© Ù…Ø­ØªÙˆÙ‰ Ø§Ù„Ù…ÙˆÙ‚Ø¹ Ø§Ù„Ø¥Ù„ÙƒØªØ±ÙˆÙ†ÙŠ		
home.website.usage.policy	Website Usage Policy	Politique d'utilisation du site Web	Ø³ÙŠØ§Ø³Ø© Ø§Ø³ØªØ®Ø¯Ø§Ù… Ø§Ù„Ù…ÙˆÙ‚Ø¹ Ø§Ù„Ø¥Ù„ÙƒØªØ±ÙˆÙ†ÙŠ		
home.modern.slavery.statement	Modern Slavery Statement	DÃ©claration relative Ã  l'esclavage moderne	Ø¨ÙŠØ§Ù† Ù…ÙƒØ§ÙØ­Ø© Ø§Ù„Ø¹Ø¨ÙˆØ¯ÙŠØ© Ø§Ù„Ø­Ø¯ÙŠØ«Ø©		
home.website.security.guidance	Website Security Guidance	Conseils de sÃ©curitÃ© des sites Web	Ø¥Ø±Ø´Ø§Ø¯Ø§Øª Ø£Ù…Ù† Ø§Ù„Ù…ÙˆÙ‚Ø¹ Ø§Ù„Ø¥Ù„ÙƒØªØ±ÙˆÙ†ÙŠ		
home.eclipsoair	EclipsoAir	EclipsoAir	EclipsoAir		
home.unique.private.airline	The Unique Private Airline	La seule compagnie aÃ©rienne privÃ©e	Ø´Ø±ÙƒØ© Ø§Ù„Ø·ÙŠØ±Ø§Ù† Ø§Ù„Ø®Ø§ØµØ© Ø§Ù„ÙØ±ÙŠØ¯Ø©		
home.comingsoon	Comming Soon	A venir prochainement	Ù‚Ø±ÙŠØ¨Ù‹Ø§		
home.become.member	Become a Member	Devenez un membre	Ø§Ù†Ø¶Ù… Ø¥Ù„ÙŠÙ†Ø§ ÙƒØ¹Ø¶Ùˆ		
home.welcome.to	Welcome to	Bienvenue sur	Ù…Ø±Ø­Ø¨Ù‹Ø§ Ø¨ÙƒÙ… ÙÙŠ		
home.updates.events	Updates & Events	ActualitÃ©s et Ã©vÃ©nements	Ø¢Ø®Ø± Ø§Ù„Ù…Ø³ØªØ¬Ø¯Ø§Øª ÙˆØ§Ù„ÙØ¹Ø§Ù„ÙŠØ§Øª		
home.book.flight	Book a Flight	RÃ©servez un vol	Ø§Ø­Ø¬Ø² Ø±Ø­Ù„Ø©		
home.gateway.exclusive.travel	Your Gateway to Exclusive Travel	Votre porte d'entrÃ©e vers des voyages exclusifs	Ø¨ÙˆØ§Ø¨ØªÙƒ Ø¥Ù„Ù‰ Ø§Ù„Ø³ÙØ± Ø§Ù„Ø­ØµØ±ÙŠ		
home.paragraph.services	EclipsoAir isnâ€™t just a private airline; itâ€™s a redefinition of how private air travel should be. Combining unmatched luxury, personalized service, and cutting-edge safety standards, we offer a flight experience that is as unique as your aspirations. Whether youâ€™re traveling for business or leisure, every detail of your journey is meticulously curated to reflect your style and preferences.	EclipsoAir n'est pas qu'une simple compagnie aÃ©rienne privÃ©e ; c'est une redÃ©finition du voyage aÃ©rien privÃ©.	Ø¥ÙƒÙ„ÙŠØ¨Ø³ÙˆØ£ÙŠØ± Ù„ÙŠØ³Øª Ù…Ø¬Ø±Ø¯ Ø´Ø±ÙƒØ© Ø·ÙŠØ±Ø§Ù† Ø®Ø§ØµØ©ØŒ Ø¨Ù„ Ù‡ÙŠ Ø¥Ø¹Ø§Ø¯Ø© ØªØ¹Ø±ÙŠÙ Ø­Ù‚ÙŠÙ‚ÙŠØ© Ù„ØªØ¬Ø±Ø¨Ø© Ø§Ù„Ø³ÙØ± Ø§Ù„Ø¬ÙˆÙŠ Ø§Ù„Ø®Ø§Øµ. Ù…Ù† Ø®Ù„Ø§Ù„ Ø§Ù„Ø¬Ù…Ø¹ Ø¨ÙŠÙ† ÙØ®Ø§Ù…Ø© Ù„Ø§ ØªÙØ¶Ø§Ù‡Ù‰ØŒ ÙˆØ®Ø¯Ù…Ø© Ø´Ø®ØµÙŠØ© Ù…ØµÙ…Ù…Ø© Ø¨Ø¹Ù†Ø§ÙŠØ©ØŒ ÙˆØ£Ø¹Ù„Ù‰ Ù…Ø¹Ø§ÙŠÙŠØ± Ø§Ù„Ø³Ù„Ø§Ù…Ø© Ø§Ù„Ù…ØªØ·ÙˆØ±Ø©ØŒ Ù†Ù‚Ø¯Ù… Ù„ÙƒÙ… ØªØ¬Ø±Ø¨Ø© Ø·ÙŠØ±Ø§Ù† ÙØ±ÙŠØ¯Ø© ØªØ¹ÙƒØ³ Ø·Ù…ÙˆØ­Ø§ØªÙƒÙ…. Ø³ÙˆØ§Ø¡ ÙƒÙ†ØªÙ… ØªØ³Ø§ÙØ±ÙˆÙ† Ù„Ø£ØºØ±Ø§Ø¶ Ø§Ù„Ø¹Ù…Ù„ Ø£Ùˆ Ø§Ù„ØªØ±ÙÙŠÙ‡ØŒ ÙØ¥Ù† ÙƒÙ„ ØªÙØµÙŠÙ„Ø© ÙÙŠ Ø±Ø­Ù„ØªÙƒÙ… ÙŠØªÙ… ØªÙ†Ø³ÙŠÙ‚Ù‡Ø§ Ø¨Ø¯Ù‚Ø© Ù„ØªØ¬Ø³Ø¯ Ø£Ø³Ù„ÙˆØ¨ÙƒÙ… ÙˆØªÙØ¶ÙŠÙ„Ø§ØªÙƒÙ….		
home.paragraph2.services	With a focus on exclusivity and customer satisfaction, our services go beyond transportation â€” we provide an elevated travel experience. From seamless booking to in-flight indulgence, we ensure that your comfort, privacy, and convenience are paramount. At EclipsoAir, the skies are yours to command.	PrivilÃ©giant l'exclusivitÃ© et la satisfaction client, nos services vont bien au-delÃ  du simple transport : nous vous offrons une expÃ©rience de voyage d'exception.	Ù…Ø¹ ØªØ±ÙƒÙŠØ²Ù†Ø§ Ø¹Ù„Ù‰ Ø§Ù„Ø­ØµØ±ÙŠØ© ÙˆØ±Ø¶Ø§ Ø§Ù„Ø¹Ù…Ù„Ø§Ø¡ØŒ ØªØªØ¬Ø§ÙˆØ² Ø®Ø¯Ù…Ø§ØªÙ†Ø§ Ù…ÙÙ‡ÙˆÙ… Ø§Ù„Ù†Ù‚Ù„ Ø§Ù„ØªÙ‚Ù„ÙŠØ¯ÙŠ Ù„ØªÙ‚Ø¯Ù… Ù„ÙƒÙ… ØªØ¬Ø±Ø¨Ø© Ø³ÙØ± Ø±Ø§Ù‚ÙŠØ© ÙˆÙ…ØªÙƒØ§Ù…Ù„Ø©. Ø¨Ø¯Ø¡Ù‹Ø§ Ù…Ù† Ø§Ù„Ø­Ø¬Ø² Ø§Ù„Ø³Ù„Ø³ ÙˆØµÙˆÙ„Ù‹Ø§ Ø¥Ù„Ù‰ Ø§Ù„Ø±ÙØ§Ù‡ÙŠØ© Ø¹Ù„Ù‰ Ù…ØªÙ† Ø§Ù„Ø·Ø§Ø¦Ø±Ø©ØŒ Ù†Ø­Ø±Øµ Ø¹Ù„Ù‰ Ø£Ù† ØªÙƒÙˆÙ† Ø±Ø§Ø­ØªÙƒÙ… ÙˆØ®ØµÙˆØµÙŠØªÙƒÙ… ÙˆØ³Ù‡ÙˆÙ„ØªÙƒÙ… ÙÙŠ Ù…Ù‚Ø¯Ù…Ø© Ø£ÙˆÙ„ÙˆÙŠØ§ØªÙ†Ø§. Ù…Ø¹ EclipsoAirØŒ Ø§Ù„Ø³Ù…Ø§Ø¡ Ø¨ÙŠÙ† Ø£ÙŠØ¯ÙŠÙƒÙ….		
home.membership	Membership	AdhÃ©sion	Ø§Ù„Ø¹Ø¶ÙˆÙŠØ©		
home.membership.paragraph	We ask for a subscription of Â£25,000 which allocates you 45 tickets that are then converted to boarding passes	Nous demandons un abonnement de 25 000 Â£ qui vous donne droit Ã  45 billets transformÃ©s ensuite en cartes d'embarquement	Ù†Ø·Ù„Ø¨ Ø§Ø´ØªØ±Ø§ÙƒÙ‹Ø§ Ø¨Ù‚ÙŠÙ…Ø© 25,000 Ø¬Ù†ÙŠÙ‡ Ø¥Ø³ØªØ±Ù„ÙŠÙ†ÙŠ ÙŠÙ…Ù†Ø­ÙƒÙ… 45 ØªØ°ÙƒØ±Ø© ÙŠØªÙ… ØªØ­ÙˆÙŠÙ„Ù‡Ø§ Ù„Ø§Ø­Ù‚Ù‹Ø§ Ø¥Ù„Ù‰ Ø¨Ø·Ø§Ù‚Ø§Øª ØµØ¹ÙˆØ¯ Ø¥Ù„Ù‰ Ø§Ù„Ø·Ø§Ø¦Ø±Ø©		
home.membership.paragraph2	Members can be Corporates, Individuals or Families. Corporates can allocate seats to employees	Les membres peuvent Ãªtre des entreprises, des particuliers ou des familles. Les entreprises peuvent attribuer des places Ã  leurs employÃ©s.	ÙŠÙ…ÙƒÙ† Ø£Ù† ÙŠÙƒÙˆÙ† Ø§Ù„Ø£Ø¹Ø¶Ø§Ø¡ Ø´Ø±ÙƒØ§Øª Ø£Ùˆ Ø£ÙØ±Ø§Ø¯Ù‹Ø§ Ø£Ùˆ Ø¹Ø§Ø¦Ù„Ø§Øª. ÙˆÙŠÙ…ÙƒÙ† Ù„Ù„Ø´Ø±ÙƒØ§Øª ØªØ®ØµÙŠØµ Ø§Ù„Ù…Ù‚Ø§Ø¹Ø¯ Ù„Ù…ÙˆØ¸ÙÙŠÙ‡Ø§		
home.membership.paragraph3	The flight you wish can either be a regular flight, or private charter, or an on demand package	Le vol que vous souhaitez peut Ãªtre un vol rÃ©gulier, un vol privÃ©, affrÃ©tÃ©, ou un forfait Ã  la demande	ÙŠÙ…ÙƒÙ† Ø£Ù† ØªÙƒÙˆÙ† Ø§Ù„Ø±Ø­Ù„Ø© Ø§Ù„ØªÙŠ ØªØ®ØªØ§Ø±ÙˆÙ†Ù‡Ø§ Ø±Ø­Ù„Ø© Ù…Ù†ØªØ¸Ù…Ø©ØŒ Ø£Ùˆ Ø±Ø­Ù„Ø© Ø®Ø§ØµØ© Ù…Ø³ØªØ£Ø¬Ø±Ø©ØŒ Ø£Ùˆ Ø¨Ø§Ù‚Ø© Ø­Ø³Ø¨ Ø§Ù„Ø·Ù„Ø¨		
home.membership.paragraph4	Every member will be issued an EclipsoAir blackcard for access to all private lounges & facilities	Chaque membre recevra une carte noire EclipsoAir lui donnant accÃ¨s Ã  tous les salons et installations privÃ©s	Ø³ÙŠØ­ØµÙ„ ÙƒÙ„ Ø¹Ø¶Ùˆ Ø¹Ù„Ù‰ Ø¨Ø·Ø§Ù‚Ø© EclipsoAir Ø§Ù„Ø³ÙˆØ¯Ø§Ø¡ Ø§Ù„ØªÙŠ ØªØªÙŠØ­ Ù„Ù‡ Ø§Ù„Ø¯Ø®ÙˆÙ„ Ø¥Ù„Ù‰ Ø¬Ù…ÙŠØ¹ Ø§Ù„ØµØ§Ù„Ø§Øª ÙˆØ§Ù„Ù…Ø±Ø§ÙÙ‚ Ø§Ù„Ø®Ø§ØµØ©		
home.membership.paragraph5	Our exclusive Membership card as part of our service	Notre carte de membre exclusive fait partie de notre service	Ø¨Ø·Ø§Ù‚Ø© Ø§Ù„Ø¹Ø¶ÙˆÙŠØ© Ø§Ù„Ø­ØµØ±ÙŠØ© Ø§Ù„Ø®Ø§ØµØ© Ø¨Ù†Ø§ Ù‡ÙŠ Ø¬Ø²Ø¡ Ù…Ù† Ø®Ø¯Ù…Ø§ØªÙ†Ø§		
home.corporate.membership	Corporate Membership	AdhÃ©sion d'entreprise	Ø¹Ø¶ÙˆÙŠØ© Ø§Ù„Ø´Ø±ÙƒØ§Øª		
home.register.your.business	1. Register your business	1. Enregistrez votre entreprise	1. Ø³Ø¬Ù‘Ù„ Ø´Ø±ÙƒØªÙƒ		
home.register.description	Provide pre-approved boarding passes; passengers need to submit name, address, DOB, and certified passport copy during booking.	Fournissez des cartes dâ€™embarquement prÃ©-approuvÃ©es ; les passagers doivent soumettre leur nom, adresse, date de naissance et une copie certifiÃ©e de leur passeport lors de la rÃ©servation.	Ù‚Ø¯Ù‘Ù… Ø¨Ø·Ø§Ù‚Ø§Øª ØµØ¹ÙˆØ¯ Ø¥Ù„Ù‰ Ø§Ù„Ø·Ø§Ø¦Ø±Ø© Ù…Ø¹ØªÙ…Ø¯Ø© Ù…Ø³Ø¨Ù‚Ù‹Ø§Ø› ÙˆÙŠÙØ·Ù„Ø¨ Ù…Ù† Ø§Ù„Ù…Ø³Ø§ÙØ±ÙŠÙ† ØªÙ‚Ø¯ÙŠÙ… Ø§Ù„Ø§Ø³Ù…ØŒ Ø§Ù„Ø¹Ù†ÙˆØ§Ù†ØŒ ØªØ§Ø±ÙŠØ® Ø§Ù„Ù…ÙŠÙ„Ø§Ø¯ØŒ ÙˆÙ†Ø³Ø®Ø© Ù…ØµØ¯Ù‘Ù‚Ø© Ù…Ù† Ø¬ÙˆØ§Ø² Ø§Ù„Ø³ÙØ± Ø£Ø«Ù†Ø§Ø¡ Ø§Ù„Ø­Ø¬Ø².		
home.book.your.flights	2. Book your flights	2. RÃ©servez vos vols	2. Ø§Ø­Ø¬Ø² Ø±Ø­Ù„Ø§ØªÙƒ		
home.book.description	Once tickets are used, apply and pay for more. Funds stay in a client account. Passengers get membership cards.	Une fois les billets utilisÃ©s, faites une nouvelle demande et effectuez le paiement pour dâ€™autres. Les fonds restent sur un compte client. Les passagers reÃ§oivent une carte de membre.	Ø¨Ø¹Ø¯ Ø§Ø³ØªØ®Ø¯Ø§Ù… Ø§Ù„ØªØ°Ø§ÙƒØ±ØŒ ÙŠÙ…ÙƒÙ† Ø·Ù„Ø¨ Ø§Ù„Ù…Ø²ÙŠØ¯ ÙˆØ¯ÙØ¹ Ù‚ÙŠÙ…ØªÙ‡Ø§. ØªØ¨Ù‚Ù‰ Ø§Ù„Ø£Ù…ÙˆØ§Ù„ ÙÙŠ Ø­Ø³Ø§Ø¨ Ø§Ù„Ø¹Ù…ÙŠÙ„ØŒ ÙˆÙŠØ­ØµÙ„ Ø§Ù„Ù…Ø³Ø§ÙØ±ÙˆÙ† Ø¹Ù„Ù‰ Ø¨Ø·Ø§Ù‚Ø§Øª Ø¹Ø¶ÙˆÙŠØ©.		
home.family.membership.title	Family Membership	Abonnement familial	Ø¹Ø¶ÙˆÙŠØ© Ø§Ù„Ø¹Ø§Ø¦Ù„Ø©		
home.family.subscription.title	1. Subscription / On Demand	1. Abonnement / Ã€ la demande	1. Ø§Ø´ØªØ±Ø§Ùƒ / Ø­Ø³Ø¨ Ø§Ù„Ø·Ù„Ø¨		
home.family.subscription.desc	Select a subscription plan or opt for pay-as-you-go membership for on-demand ticket access.	Choisissez un plan dâ€™abonnement ou optez pour une formule Ã  la demande pour accÃ©der aux billets selon vos besoins.	Ø§Ø®ØªØ± Ø®Ø·Ø© Ø§Ø´ØªØ±Ø§Ùƒ Ø£Ùˆ Ø¹Ø¶ÙˆÙŠØ© Ø¨Ù†Ø¸Ø§Ù… Ø§Ù„Ø¯ÙØ¹ Ø­Ø³Ø¨ Ø§Ù„Ø§Ø³ØªØ®Ø¯Ø§Ù… Ù„Ù„ÙˆØµÙˆÙ„ Ø¥Ù„Ù‰ Ø§Ù„ØªØ°Ø§ÙƒØ± Ø¹Ù†Ø¯ Ø§Ù„Ø·Ù„Ø¨.		
home.family.register.title	2. Register your family	2. Enregistrez votre famille	2. Ø³Ø¬Ù‘Ù„ Ø¹Ø§Ø¦Ù„ØªÙƒ		
